page,n_orden,localidad,provincia,depto_1960,poblacion,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,nota
v5_p05,291,Miñones,Entre Ríos,Federación,204,manual_coord,Estación Miñones,-30.6983,-58.5825,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones,rojo,Federal,"Paraje/estación del distrito Francisco Ramírez; en 1960 depto Federación, hoy depto Federal (contiguo)"
v3_p12,820,Kilómetro 125,Buenos Aires,San Andrés de Giles,192,rename,Estación La Valerosa,-34.5525,-59.5328,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_La_Valerosa,verde,San Andrés de Giles,"Estacion cuyo nombre original era Kilometro 125, renombrada La Valerosa, partido San Andres de Giles, Buenos Aires"
v3_p03,827,Bonifacio,Buenos Aires,Guaminí,187,rename,Laguna Alsina (Bonifacio),-36.8075,-62.2479,Wikipedia (Estación Bonifacio) / OSM,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Bonifacio,verde,Guaminí,"La estación Bonifacio está en la localidad de Laguna Alsina, partido de Guaminí; comúnmente aún llamada Bonifacio."
v4_p15,741,Rumiyaco,Córdoba,Minas,187,sin_coordenada,,,,,,sin_coord,,"Paraje en depto Minas (Córdoba) sin coordenada moderna verificable; el 'Rumiyaco' que aparece en buscadores son cabañas en Villa Rumipal (depto Calamuchita), homónimo lejano."
v7_p04,386,El Tobar,Tucumán,Chicligasta,184,rename,El Tobar,-27.5333,-65.0667,osm,https://nominatim.openstreetmap.org/search?q=El%20Tobar%2C%20Tucum%C3%A1n,verde,Simoca,"El Tobar; OSM lo ubica en depto Simoca (uno de los deptos_modernos), lindante con Chicligasta. Coincide depto."
v7_p08,389,Rosario del Dorado,Salta,Anta,177,manual_coord,Rosario del Dorado,-24.5275,-64.1558,osm,"https://nominatim.openstreetmap.org/search?q=Rosario+del+Dorado,+Anta,+Salta,+Argentina",verde,Anta,"Paraje en municipio Apolinario Saravia, depto Anta (Salta)."
v7_p04,398,General Alvarado,Salta,Capital,159,manual_coord,General Alvarado,-24.8496,-65.4577,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Capital,"Paraje/barrio en el SO de la ciudad de Salta, depto Capital."
v7_p05,402,Huasa Pampa Sud,Tucumán,Graneros,149,manual_coord,Huasa Pampa Sur,-27.8811,-65.5825,Mindat,https://www.mindat.org/feature-3854069.html,verde,La Cocha,"Localidad del depto La Cocha, Tucumán (limítrofe con Graneros)"
v7_p06,406,Luisiana,Tucumán,Cruz Alta,146,manual_coord,Luisiana (La Florida y Luisiana),-26.8000,-65.0833,dices.net / db-city,https://www.dices.net/mapas/argentina/mapa.php?nombre=Luisiana&id=2928,verde,Cruz Alta,"Comunidad rural del depto Cruz Alta, al este de Alderetes (Gran Tucumán)"
v9_1_2_p05,147,Yacimiento Petrolífero Solano,Chubut,Escalante,127,manual_coord,Bahía Solano (yacimiento petrolífero),-45.6697,-67.3336,Wikipedia,https://es.wikipedia.org/wiki/Bah%C3%ADa_Solano_(Chubut),sin_depto,,"Campamento/yacimiento petrolifero de Bahia Solano (YPF), depto Escalante, ~25 km al N de Comodoro Rivadavia, Chubut"
v5_p05,304,Machadiño,Misiones,Concepción,112,sin_coordenada,,,,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Machadi%C3%B1o,+Misiones,+Argentina",sin_coord,,"El único registro OSM es 'Arroyo Machadiño' en depto San Ignacio (-27.20,-55.28), lejos del depto Concepción; no hay coordenada confiable para un poblado en Concepción (CP 3374)."
v4_p03,772,Casaffousth,Córdoba,Punilla,108,manual_coord,Casaffousth,-31.3667,-64.45,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Casaffousth&id=29646,verde,Punilla,"Estación/paraje Casaffousth cerca de Santa María de Punilla, depto Punilla."
v3_p04,905,Colonia La Merced,Buenos Aires,Villarino,105,manual_coord,Colonia La Merced,-38.6740,-62.4743,osm,https://nominatim.openstreetmap.org/search?q=Colonia%20La%20Merced%2C%20Villarino,verde,Villarino,"Colonia La Merced, paraje del partido Villarino (limite con Bahia Blanca sobre el arroyo Sauce Chico). Coincide depto."
v4_p08,775,Jean Maire,Córdoba,San Justo,103,manual_coord,Jeanmaire,-31.4008,-62.4683,osm,"https://nominatim.openstreetmap.org/search?q=Jeanmaire,+San+Justo,+Cordoba,+Argentina",verde,San Justo,Localidad Jeanmaire en depto San Justo (Córdoba).
v9_1_2_p04,154,Planta Compresora Conesa,Río Negro,General Conesa,101,manual_coord,Planta Compresora (General Conesa),-40.4248,-63.9047,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Conesa,"Planta compresora de gas sobre RN250 (km 49), depto Conesa, Río Negro; caserío ligado a la planta al norte del casco de General Conesa."
v9_1_2_p01,157,Barrio Laprida y Manantial Rosales,Chubut,Escalante,81,barrio_de,Manantial Rosales (Comodoro Rivadavia),-45.8233,-67.5269,Wikipedia,https://es.wikipedia.org/wiki/Manantial_Rosales,verde,Escalante,Depto Escalante; barrio de Comodoro Rivadavia (incorporado al aglomerado en censo 2022)
